,seed,id,difficulty,difficulty_int,time,number_of_try,depth,logic
0,0,187601,2.7,3.0,0.489043,4,3,True
1,1,187601,2.7,3.0,7.385459,54,2,True
2,2,187601,2.7,3.0,6.476424,46,3,True
3,3,187601,2.7,3.0,1.402246,10,3,True
4,4,187601,2.7,3.0,1.122551,7,3,True
0,0,187601,2.7,3.0,20.189547,176,7,False
1,1,187601,2.7,3.0,29.38145,252,5,False
2,2,187601,2.7,3.0,4.002838,34,4,False
3,3,187601,2.7,3.0,30.12543,260,8,False
4,4,187601,2.7,3.0,107.491752,939,5,False
0,0,1000891,1.0,1.0,0.149098,0,0,True
1,1,1000891,1.0,1.0,0.147801,0,0,True
2,2,1000891,1.0,1.0,0.148173,0,0,True
3,3,1000891,1.0,1.0,0.149855,0,0,True
4,4,1000891,1.0,1.0,0.148702,0,0,True
0,0,1000891,1.0,1.0,0.148535,0,0,False
1,1,1000891,1.0,1.0,0.149082,0,0,False
2,2,1000891,1.0,1.0,0.148834,0,0,False
3,3,1000891,1.0,1.0,0.148031,0,0,False
4,4,1000891,1.0,1.0,0.148537,0,0,False
0,0,1531411,1.7,2.0,0.7272,6,3,True
1,1,1531411,1.7,2.0,1.577943,13,3,True
2,2,1531411,1.7,2.0,0.852977,7,2,True
3,3,1531411,1.7,2.0,0.244739,1,2,True
4,4,1531411,1.7,2.0,0.477232,3,3,True
0,0,1531411,1.7,2.0,1.12626,11,3,False
1,1,1531411,1.7,2.0,0.302391,2,3,False
2,2,1531411,1.7,2.0,1.442635,13,3,False
3,3,1531411,1.7,2.0,0.214007,1,2,False
4,4,1531411,1.7,2.0,0.826616,7,4,False
0,0,2045674,0.0,0.0,0.188893,0,0,True
1,1,2045674,0.0,0.0,0.188742,0,0,True
2,2,2045674,0.0,0.0,0.188783,0,0,True
3,3,2045674,0.0,0.0,0.188653,0,0,True
4,4,2045674,0.0,0.0,0.188723,0,0,True
0,0,2045674,0.0,0.0,0.188949,0,0,False
1,1,2045674,0.0,0.0,0.188446,0,0,False
2,2,2045674,0.0,0.0,0.188233,0,0,False
3,3,2045674,0.0,0.0,0.18858,0,0,False
4,4,2045674,0.0,0.0,0.189735,0,0,False
0,0,2870565,3.6,4.0,22.478203,132,3,True
1,1,2870565,3.6,4.0,2.797948,16,3,True
2,2,2870565,3.6,4.0,7.209839,42,2,True
3,3,2870565,3.6,4.0,3.811474,22,2,True
4,4,2870565,3.6,4.0,2.428778,13,4,True
0,0,2870565,3.6,4.0,86.117626,604,4,False
1,1,2870565,3.6,4.0,27.894948,198,3,False
2,2,2870565,3.6,4.0,71.148799,498,3,False
3,3,2870565,3.6,4.0,9.933587,72,3,False
4,4,2870565,3.6,4.0,30.70006,219,3,False
